algo,trial,avg_response_us
RR,1,737350.50
RR,2,720454.00
RR,3,731516.50
RR,4,721481.75
RR,5,716675.25
FCFS,1,433898.50
FCFS,2,432429.50
FCFS,3,447392.00
FCFS,4,443299.50
FCFS,5,443574.75
SJF,1,441769.25
SJF,2,441678.50
SJF,3,431232.50
SJF,4,428884.25
SJF,5,428679.50
MLFQ,1,1159963.25
MLFQ,2,1173473.00
MLFQ,3,1170790.00
MLFQ,4,1163563.25
MLFQ,5,1176250.75
